num, max val
1, 365
2, 367
3, 371
4, 368
5, 365
6, 368
7, 367
8, 367
9, 367
10, 367
11, 369
12, 370
13, 368
14, 366
15, 371
16, 366
17, 363
18, 374
19, 373
20, 368
21, 364
22, 370
23, 366
24, 369
25, 368
26, 369
27, 364
28, 367
29, 371
30, 368
