num, max val
1, 3232
2, 3262
3, 3234
4, 3239
5, 3232
6, 3219
7, 3220
8, 3244
9, 3214
10, 3230
11, 3227
12, 3250
13, 3224
14, 3214
15, 3208
16, 3230
17, 3224
18, 3234
19, 3233
20, 3239
21, 3234
22, 3237
23, 3252
24, 3229
25, 3226
26, 3227
27, 3236
28, 3247
29, 3228
30, 3235
