num, max val
1, 2762
2, 2748
3, 2742
4, 2751
5, 2752
6, 2751
7, 2777
8, 2750
9, 2759
10, 2761
11, 2750
12, 2756
13, 2748
14, 2749
15, 2742
16, 2762
17, 2748
18, 2746
19, 2744
20, 2761
21, 2750
22, 2773
23, 2781
24, 2750
25, 2751
26, 2738
27, 2756
28, 2753
29, 2752
30, 2749
