rate, elasped time (s), max val, avg val
0.001000, 1, 2590, 2494.44
0.001000, 1, 2658, 2528.07
0.001000, 1, 2700, 2557.69
0.001000, 2, 2700, 2577.72
0.001000, 2, 2700, 2589.42
0.001000, 2, 2700, 2594.57
0.001000, 3, 2707, 2599.91
0.001000, 3, 2707, 2604.32
0.001000, 3, 2708, 2604.14
0.001000, 4, 2711, 2607.45
0.001000, 4, 2712, 2609.73
0.001000, 4, 2715, 2611.94
0.001000, 5, 2715, 2612.69
0.001000, 5, 2715, 2613.66
0.001000, 5, 2715, 2615.72
0.001000, 6, 2720, 2613.70
0.001000, 6, 2724, 2613.84
0.001000, 6, 2724, 2615.22
0.001000, 7, 2724, 2614.91
0.001000, 7, 2724, 2616.63
0.001000, 7, 2724, 2618.68
0.001000, 8, 2724, 2618.35
0.001000, 8, 2724, 2617.28
0.001000, 8, 2724, 2619.58
0.001000, 9, 2754, 2617.28
0.001000, 9, 2754, 2620.02
0.001000, 9, 2754, 2619.82
0.001000, 10, 2754, 2624.20
0.001000, 10, 2754, 2624.50
0.001000, 10, 2754, 2622.94
0.001000, 11, 2754, 2625.11
0.001000, 11, 2754, 2624.84
0.001000, 11, 2754, 2624.89
0.001000, 12, 2754, 2624.04
0.001000, 12, 2754, 2625.79
0.001000, 12, 2754, 2625.31
0.001000, 12, 2754, 2625.97
0.001000, 13, 2754, 2627.58
0.001000, 13, 2754, 2627.55
0.001000, 13, 2754, 2628.50
0.001000, 14, 2754, 2628.28
0.001000, 14, 2754, 2627.43
0.001000, 14, 2754, 2628.09
0.001000, 15, 2754, 2627.26
0.001000, 15, 2754, 2625.93
0.001000, 15, 2754, 2630.12
0.001000, 16, 2754, 2626.93
0.001000, 16, 2754, 2629.58
0.001000, 16, 2754, 2629.73
0.001000, 17, 2754, 2630.89
0.001000, 17, 2760, 2632.21
0.001000, 17, 2760, 2632.37
0.001000, 18, 2760, 2634.00
0.001000, 18, 2760, 2633.84
0.001000, 18, 2760, 2633.19
0.001000, 19, 2760, 2634.05
0.001000, 19, 2760, 2633.49
0.001000, 19, 2760, 2632.81
0.001000, 20, 2760, 2632.55
0.001000, 20, 2760, 2633.97
0.001000, 20, 2760, 2635.52
0.001000, 21, 2760, 2633.98
0.001000, 21, 2760, 2633.79
0.001000, 21, 2760, 2636.45
0.001000, 22, 2760, 2635.00
0.001000, 22, 2761, 2634.67
0.001000, 22, 2775, 2636.81
0.001000, 23, 2775, 2636.84
0.001000, 23, 2775, 2637.25
0.001000, 23, 2775, 2637.57
0.001000, 24, 2775, 2634.48
0.001000, 24, 2775, 2635.48
0.001000, 24, 2775, 2635.68
0.001000, 25, 2775, 2634.98
0.002000, 25, 2775, 2638.34
0.002000, 25, 2775, 2637.89
0.002000, 26, 2775, 2637.63
0.002000, 26, 2775, 2637.86
0.002000, 26, 2775, 2639.08
0.002000, 27, 2775, 2638.67
0.002000, 27, 2775, 2636.76
0.002000, 27, 2775, 2638.19
0.002000, 28, 2775, 2637.95
0.002000, 28, 2775, 2637.03
0.002000, 28, 2775, 2637.71
0.002000, 29, 2775, 2637.76
0.002000, 29, 2775, 2640.49
0.002000, 29, 2775, 2637.95
0.002000, 30, 2775, 2638.84
0.001000, 30, 2779, 2639.70
0.001000, 30, 2779, 2640.19
0.001000, 31, 2779, 2640.67
0.001000, 31, 2779, 2642.11
0.001000, 31, 2779, 2640.24
0.001000, 32, 2779, 2642.15
0.001000, 32, 2779, 2641.61
0.001000, 32, 2779, 2643.11
0.001000, 33, 2779, 2642.00
0.001000, 33, 2779, 2643.25
0.001000, 33, 2779, 2640.86
0.001000, 34, 2779, 2640.05
0.001000, 34, 2779, 2641.11
0.001000, 34, 2779, 2642.48
0.001000, 34, 2779, 2642.87
0.001000, 35, 2779, 2642.54
0.001000, 35, 2788, 2644.83
0.001000, 35, 2788, 2644.99
0.001000, 36, 2788, 2645.49
0.001000, 36, 2788, 2645.81
0.001000, 36, 2788, 2643.68
0.001000, 37, 2788, 2644.11
0.001000, 37, 2788, 2645.20
0.001000, 37, 2788, 2642.46
0.001000, 38, 2788, 2645.03
0.001000, 38, 2788, 2643.13
0.001000, 38, 2788, 2643.60
0.001000, 39, 2788, 2644.26
0.001000, 39, 2788, 2643.99
0.001000, 39, 2788, 2645.35
0.001000, 40, 2788, 2645.39
0.001000, 40, 2788, 2647.25
0.001000, 40, 2788, 2645.35
0.001000, 41, 2788, 2646.88
0.001000, 41, 2788, 2643.29
0.001000, 41, 2788, 2647.24
0.001000, 42, 2788, 2647.33
0.001000, 42, 2788, 2649.65
0.001000, 42, 2788, 2646.91
0.001000, 43, 2788, 2646.58
0.001000, 43, 2788, 2647.51
0.001000, 43, 2788, 2643.70
0.001000, 44, 2788, 2649.10
0.001000, 44, 2788, 2648.02
0.001000, 44, 2788, 2647.11
0.001000, 45, 2788, 2647.84
0.001000, 45, 2788, 2649.81
0.001000, 45, 2788, 2650.18
0.001000, 46, 2788, 2648.53
0.001000, 46, 2788, 2648.08
0.001000, 46, 2788, 2650.30
0.001000, 47, 2788, 2649.11
0.001000, 47, 2788, 2650.07
0.001000, 47, 2788, 2649.19
0.001000, 48, 2788, 2646.55
0.001000, 48, 2796, 2649.61
0.001000, 48, 2796, 2650.79
0.001000, 49, 2806, 2653.43
