rate, elasped time (s), max val, avg val
0.001000, 113, 3227, 2586.49
0.001000, 114, 3227, 2587.24
0.001000, 114, 3227, 2587.69
0.001000, 115, 3227, 2588.13
0.001000, 115, 3227, 2588.65
0.001000, 115, 3227, 2589.07
0.001000, 117, 3227, 2589.78
0.001000, 117, 3227, 2590.25
0.001000, 118, 3227, 2590.71
0.001000, 118, 3227, 2591.20
0.001000, 120, 3227, 2591.91
0.001000, 122, 3227, 2592.63
0.001000, 122, 3227, 2593.16
0.001000, 123, 3227, 2593.92
0.001000, 124, 3227, 2594.35
0.001000, 124, 3227, 2594.82
0.001000, 124, 3227, 2595.32
0.001000, 125, 3227, 2595.80
0.001000, 125, 3227, 2596.27
0.001000, 126, 3227, 2596.76
0.001000, 127, 3227, 2597.47
0.001000, 127, 3227, 2597.95
0.001000, 128, 3227, 2598.67
0.001000, 128, 3227, 2599.15
0.001000, 129, 3227, 2599.61
0.001000, 129, 3227, 2600.34
0.001000, 130, 3227, 2601.06
0.001000, 132, 3227, 2601.78
0.001000, 133, 3227, 2602.49
0.001000, 134, 3227, 2602.98
0.001000, 135, 3227, 2603.72
0.001000, 135, 3227, 2604.17
0.001000, 136, 3227, 2604.63
0.001000, 137, 3227, 2605.35
0.001000, 137, 3227, 2605.81
0.001000, 137, 3227, 2606.24
0.001000, 139, 3227, 2607.01
0.001000, 139, 3227, 2607.50
0.001000, 140, 3227, 2607.99
0.001000, 140, 3227, 2608.46
0.001000, 140, 3227, 2608.91
0.001000, 141, 3227, 2609.39
0.001000, 141, 3227, 2609.93
0.001000, 142, 3227, 2610.65
0.001000, 143, 3227, 2611.15
0.001000, 143, 3227, 2611.85
0.001000, 144, 3227, 2612.36
0.001000, 144, 3227, 2612.86
0.001000, 146, 3227, 2613.57
0.001000, 146, 3227, 2614.07
0.001000, 146, 3227, 2614.55
0.001000, 147, 3227, 2615.06
0.001000, 147, 3227, 2615.58
0.001000, 147, 3227, 2616.09
0.001000, 149, 3227, 2616.82
0.001000, 150, 3227, 2617.25
0.001000, 150, 3227, 2617.81
0.001000, 151, 3227, 2618.54
0.001000, 151, 3227, 2619.04
0.001000, 152, 3227, 2619.78
0.001000, 154, 3227, 2620.49
0.001000, 155, 3227, 2621.18
0.001000, 155, 3227, 2621.66
0.001000, 155, 3227, 2622.13
0.001000, 156, 3227, 2622.84
0.001000, 157, 3227, 2623.32
0.001000, 158, 3227, 2624.07
0.001000, 159, 3227, 2624.76
0.001000, 160, 3227, 2625.20
0.001000, 160, 3227, 2625.67
0.001000, 161, 3227, 2626.39
0.001000, 162, 3227, 2626.89
0.001000, 162, 3227, 2627.35
0.001000, 162, 3227, 2627.82
0.001000, 163, 3227, 2628.36
0.001000, 163, 3227, 2628.81
0.001000, 164, 3227, 2629.56
0.001000, 165, 3227, 2630.08
0.001000, 166, 3227, 2630.80
0.001000, 167, 3227, 2631.27
0.001000, 168, 3227, 2631.95
0.001000, 169, 3227, 2632.65
0.001000, 171, 3227, 2633.35
0.001000, 171, 3227, 2633.79
0.001000, 171, 3227, 2634.21
0.001000, 173, 3227, 2634.96
0.001000, 174, 3227, 2635.68
0.001000, 174, 3227, 2636.12
0.001000, 175, 3227, 2636.58
0.001000, 176, 3227, 2637.28
0.001000, 176, 3227, 2637.73
0.001000, 178, 3227, 2638.45
0.001000, 180, 3227, 2639.17
