Round, Value, Time
0, 28691594, 1000000002
1, 28617133, 1000000001
2, 28555244, 1000000003
3, 28580622, 1000000003
4, 28589203, 1000000002
5, 28486885, 1000000003
6, 28755062, 1000000002
7, 27959155, 1000000001
8, 28543782, 1000000002
9, 26482239, 1000000000
