rate, elasped time (s), max val
0.060000, 0, 972
0.060000, 0, 972
0.060000, 0, 972
0.060000, 0, 972
0.060000, 0, 972
0.070000, 0, 972
0.080000, 0, 972
0.080000, 0, 972
0.080000, 0, 972
0.080000, 0, 972
0.090000, 0, 972
0.090000, 0, 972
0.110000, 0, 972
0.110000, 0, 972
0.110000, 0, 972
0.130000, 0, 972
0.140000, 0, 972
0.170000, 0, 972
0.180000, 0, 972
0.190000, 0, 972
0.210000, 0, 972
0.230000, 0, 972
0.250000, 0, 972
0.270000, 0, 972
0.280000, 0, 972
0.300000, 0, 972
0.320000, 0, 972
0.350000, 0, 972
0.350000, 0, 972
0.370000, 0, 972
0.390000, 0, 972
0.400000, 0, 972
0.430000, 0, 972
0.460000, 0, 972
0.480000, 0, 972
0.520000, 0, 972
0.530000, 0, 972
0.560000, 0, 972
0.590000, 0, 972
0.620000, 0, 972
0.650000, 0, 972
0.700000, 0, 972
